Name,Gender,DOB,Maths,Physics,Chemistry,English,Biology,Economics,History,Civics,Total,Result
0,John,M,05-04-1988,55,0.0,56,87,21,52,89,65,111.0,fail
1,Suresh,M,04-05-1987,75,96.0,78,64,90,61,58,2,249.0,pass
2,Ramesh,M,25-05-1989,25,54.0,89,76,95,87,56,74,168.0,fail
3,Jessica,F,12-08-1990,78,96.0,86,63,54,89,75,45,260.0,pass
4,Jennifer,F,02-09-1989,58,96.0,78,46,96,77,83,53,232.0,pass
5,Annu,F,05-04-1988,45,87.0,52,89,55,89,87,52,184.0,fail
6,pooja,F,04-05-1987,55,64.0,61,58,75,58,64,61,180.0,fail
7,Ritesh,M,25-05-1989,54,76.0,87,56,25,56,76,87,217.0,pass
8,Farha,F,12-08-1990,55,63.0,89,75,78,75,63,89,207.0,pass
9,Mukesh,M,02-09-1989,96,46.0,77,83,58,83,46,77,219.0,pass
